Item,Condition,TargetPos,GEP_start,GEP_end,Sentence,Question,Correct,Incorrect,Adj1,Adj2
8,NEW-CON,11,3,7,"The shop that sits on the corner is closed, local, open and very quiet, according to the postman.",,,,closed,open
9,OLD-NOCON,7,3,10,"The soup that is fresh, creamy, cold and very delicious was served at the table, according to the waiter.",,,,fresh,cold
9,OLD-CON,7,3,10,"The soup that is hot, creamy, cold and very delicious was served at the table, according to the waiter.",,,,hot,cold
9,NEW-NOCON,12,3,8,"The soup that was served at the table is fresh, creamy, cold and very delicious, according to the waiter.",,,,fresh,cold
9,NEW-CON,12,3,8,"The soup that was served at the table is hot, creamy, cold and very delicious, according to the waiter.",,,,hot,cold
10,OLD-NOCON,7,3,10,"The mountain that is tall, green, far and very rocky was spotted from the village, according to the guide.",,,,tall,far
10,OLD-CON,7,3,10,"The mountain that is nearby, green, far and very rocky was spotted from the village, according to the guide.",,,,nearby,far
10,NEW-NOCON,12,3,8,"The mountain that was spotted from the village is tall, green, far and very rocky, according to the guide.",,,,tall,far
10,NEW-CON,12,3,8,"The mountain that was spotted from the village is nearby, green, far and very rocky, according to the guide.",,,,nearby,far
11,OLD-NOCON,7,3,10,"The fighter that is short, young, weak and very handsome entered the ring, according to the referee.",,,,short,weak
11,OLD-CON,7,3,10,"The fighter that is strong, young, weak and very handsome entered the ring, according to the referee.",,,,strong,weak
11,NEW-NOCON,10,3,6,"The fighter that entered the ring is short, young, weak and very handsome, according to the referee.",,,,short,weak
11,NEW-CON,10,3,6,"The fighter that entered the ring is strong, young, weak and very handsome, according to the referee.",,,,strong,weak
12,OLD-NOCON,7,3,10,"The exam that is long, formal, difficult and very detailed was handed out in the morning, according to the teacher.",,,,long,difficult
12,OLD-CON,7,3,10,"The exam that is easy, formal, difficult and very detailed was handed out in the morning, according to the teacher.",,,,easy,difficult
12,NEW-NOCON,13,3,9,"The exam that was handed out in the morning is long, formal, difficult and very detailed, according to the teacher.",,,,long,difficult
12,NEW-CON,13,3,9,"The exam that was handed out in the morning is easy, formal, difficult and very detailed, according to the teacher.",,,,easy,difficult
13,PROVO,0,,,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,,
14,PROVO,0,,,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Was there a bill drafted?,Yes,No,,
15,PROVO,0,,,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",Can the human body tolerate a wide range of temperature?,No,Yes,,
16,PROVO,0,,,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter's attempt to attack?,Yes,No,,
17,PROVO,0,,,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,,
18,PROVO,0,,,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the heat?,No,Yes,,
19,UNGRAMM,0,,,John was kissed John.,,,,,
20,UNGRAMM,0,,,Mary was kicked Mary.,,,,,
21,UNGRAMM,0,,,The book was read the book.,,,,,
22,UNGRAMM,0,,,The laundry was folded the laundry.,,,,,
23,UNGRAMM,0,,,The money was stolen the money.,,,,,
24,UNGRAMM,0,,,The hedges were trimmed the hedges.,,,,,
25,PRACTICE1,0,,,"Very similar, but even more striking, is the evidence from athletic training.",,,,,
26,PRACTICE2,0,,,"The girl's feet were then re-wrapped even tighter than before, causing her footprint to shrink further.",Were the wraps around the girl's feet tighter after they were re-wrapped?,Yes,No,,
27,PRACTICE3,0,,,Lady Gaga's YouTube account was suspended Thursday.,What account was suspended on Thursday?,Lady Gaga's Youtube,Lady Gaga's Instagram,,
